Misc,,,,
Name,URL,Description,Cost,Details
AmIReal,https://seintpl.github.io/AmIReal/,Github - GAN detector detects if faces were generated by ThisPersonDoesNotExist,Free,
AutoStitch,https://mattabrown.github.io/autostitch.html,Autostitch is a free tool for seamlessly combining multiple photos into a single panoramic image, making it ideal for creating wide-angle photography without needing specialized equipment.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Cleanup.Pictures,https://cleanup.pictures/,Web tool for quickly removing objects from an image.,Free,
fdupes,https://github.com/adrianlopezroche/fdupes,Github - Locating exact matches of duplicate files.,Free,
Forensically,https://29a.ch/photo-forensics/#forensic-magnifier,A collection of web-based image forensics tools. Can identify fake or doctored images.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Hugin,https://hugin.sourceforge.io/,Hugin is a free and open-source panorama photo stitching and HDR (High Dynamic Range imaging) merging software that helps users create seamless panoramic images from multiple photographs.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
InVID Verification Plugin,https://www.invid-project.eu/tools-and-services/invid-verification-plugin/,Verification plugin to help journalists verify images and videos.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
IPVM Calculator,https://calculator.ipvm.com/,Tool for simulating camera views (for geolocations).,Free,
PixPlot,https://github.com/YaleDHLab/pix-plot,PixPlot is a tool that utilizes machine learning and WebGL to provide an interactive visualization of large image collections, allowing users to explore patterns and outliers within image datasets.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
PureRef,https://www.pureref.com/index.php,Image workspace; lets you arrange images in groups, organize them, etc.,Free,
SunCalc,https://www.suncalc.org,Suncalc models the relationship between the date, time of day, the geographic location of a place, and the position of the sun in the sky, together with the length & direction of the shadows it casts.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
VIC,http://www.robots.ox.ac.uk/~vgg/software/vic/,The VGG Image Classification (VIC) Engine is an open source project developed at the Visual Geometry Group and released under the BSD-2 clause. VIC is a web application that serves as a web engine to perform image classification queries over an user-defined image dataset. It is based on the original application created by VGG to perform visual searchers over a large dataset of images from BBC News.,Free,
